Autor Abkürzung	Autor	Datierung: start_year	Datierung: end_year	Notizen	Werk Abkürzung	Werk	Unterwerke – Abkürzung	Unterwerke		Zusatz
Ail.	Ailianos				nat.	de natura animalium				
					var.	varia historia				
Ain.	Aineias 				takt.	Taktikos				
Aischin. 	Aischines				Ctes. 	in Ctesiphontem 				
					leg.	de falsa legatione				
					Tim.	in Timarchum				
Aischyl. 	Aischylos				Ag.	Agamemnon				
					Choeph.	Choephoroi				
					Eum.	Eumenides				
					Pers.	Persae				
					Prom.	Prometheus				
					Sept.	Septem adversus Thebas				
					Suppl.	Supplices 				
Aisop. 	Aisopos									
Amm.	Ammianus Marcellinus									
Anakr. 	Anakreon									
Anaxag. 	Anaxagoras									
Anaximand. 	Anaximandros									
Anaximen. 	Anaximenes									
And. 	Andokides									
Apoll. Rhod. 	Apollonios Rhodios									
Apollod.	Apollodoros					bibliotheke				
App.	Appianos				Celt.	Celtica				
					civ.	bella civilia				
					Hann.	Hannibalica				
					Ib.	Iberica				
					Ill.	Illyrica				
					It.	Italica				
					Lib.	Libyca				
					Mac.	Macedonica				
					Mithr.	Mithridatius				
					Num.	Numidica				
					reg.	regia 				
					Samn.	Samnitica				
					Sic.	Sicula				
					Syr.	Syriaca				
Apul.	Apuleius				apol.	apologia				
					flor.	florida				
					met.	metamorphoses				
Aristoph.	Aristophanes				Ach.	Acharnenses				
					Av.	Aves 				
					Eccl.	Ecclesiazusae				
					Equ.	Equites 				
					Lys.	Lysistrata				
					Nub.	Nubes				
					Pax	Pax				
					Plut.	Plutus				
					Ran.	Ranae 				
					Thesm.	Thesmophoriazusae				
					Vesp. 	Vespae 				
Aristot.	Aristoteles				an.	de anima 				
					an. post.	analytica posteriora				
					an. pr.	analytica priora				
					Ath. pol.	Athenaion politeia				
					aud.	de audibilibus 				
					cael.	de caelo 				
					cat.	categoriae				
					col.	de coloribus 				
					div.	de divinatione				
					eth. Eud.	ethica Eudemia				
					eth. Nic.	ethica Nicomachea				
					gen. an.	de generatione animalium 				
					gen. corr.	de generatione et corruptione 				
					hist. an.	historia animalium 				
					m. mor.	magna moralia				
					metaph.	metaphysica				
					meteor.	meteorologica				
					mir.	mirabilia 				
					mot. an.	de motu animalium 				
					mund.	de mundo 				
					oec.	oeconomica				
					part. an.	de partibus animalium 				
					phgn.	physiognomica				
					phys.	physica				
					poet.	poetica				
					pol.	politica				
					probl.	problemata				
					rhet.	rhetorica				
					rhet. Alex.	rhetorica ad Alexandrum				
					sens.	de sensu 				
					somn.	de somno et vigilia 				
					soph. el.	sophistici elenchi				
					spir.	de spiritu				
					top.	topica				
Aristox.  	Aristoxenos				harm.	harmonica				
Arnob. 	Arnobius					adversus nationes				
Arr.	Arrianos				an.	anabasis				
					cyn.	cynegeticus				
					Ind.	Indica				
					per. p. E.	periplus ponti Euxini				
					succ.	historia successorum Alexandri 				
					takt.	taktika				
Artem. 	Artemidoros									
Ascon. 	Asconius									
Athen. 	Athenaios									
Cass. Dio	Cassius Dio									
Demosth. 	Demosthenes				or.	orationes				
Diod. 	Diodorus Siculus									
Diog. Laert. 	Diogenes Laertios									
Diom.  	Diomedes					ars grammatica				
Dion Chrys.	Dion Chrysostomos									
Dion. Hal.	Dionysios Halicarnasseus				ant.	antiquitates Romanae 				
					comp.	de compositione verborum				
					rhet.	ars rhetorica				
Dion. Per. 	Dionysios Periegetes									
Emp.	Empedokles									
Ephor.	Ephoros von Kyme									
Epik. 	Epikuros									
Epikt. 	Epiktetos									
Eratosth.	Eratosthenes									
Eukl. 	Eukleides				elem.	elementa				
Eun.  	Eunapios				vit. soph.	vitae sophistarum				
Eur. 	Euripides				Alc.	Alcestis				
					Andr.	Andromacha				
					Bacch.	Bacchae				
					Cycl.	Cyclops				
					El.	Electra				
					Hec.	Hecuba				
					Hel.	Helena				
					Heraclid.	Heraclidae				
					Herc.	Hercules				
					Hipp.	Hippolytus				
					Ion	Ion				
					Iph. A.	Iphigenia Aulidensis				
					Iph. T.	Iphigenia Taurica				
					Med.	Medea				
					Or.	Orestes				
					Phoen.	Phoenissae				
					Rhes.	Rhesus				
					Suppl.	Supplices				
					Tro.	Troades				
Eus. 	Eusebios				Dem. Ev.	Demonstratio Evangelica				
					HE	Historia Ecclesiastica				
					On.	Eusebios, Onomastikon (Klostermann 1904)				
					Pr. Ev.	Praeparatio Evangelica				
					vita Const.	de vita Constantini				
Eust. 	Eustathios									
Gorg. 	Gorgias									
Greg. Naz. 	Gregorius Nazianzenus				epist.	epistulae				
					or.	orationes				
Greg. Nyss. 	Gregorius Nyssenus									
Hdt. 	Herodotos									
Hekat. 	Hekataios									
Herakl. 	Herakleitos									
Herakl. Pont. 	Herakleides Pontikos									
Hermog. 	Hermogenes									
Hes. 	Hesiodos				cat.	catalogus feminarum				
					erg.	opera et dies 				
					scut.	scutum 				
					theog.	Theogonia				
Hesych. 	Hesychios									
Hippokr. 	Hippokrates									
Hom. 					h. 	hymni Homerici				
Hom.	Homeros				Il.	Ilias				
					Od.	Odyssee				
Iambl. 	Iamblichos				de myst.	de mysteriis				
					protr.	protrepticus in philosophiam				
					v. P.	de vita Pythagorica				
Ioh. Mal. 	Iohannes Malalas					chronographia				
Ios. 	Iosephos				ant. Iud.	antiquitates Iudaicae				
					bell. Iud.	bellum Iudaicum				
					c. Ap.	contra Apionem				
					vita	de sua vita				
Isokr. 	Isokrates 				or.	orationes				
Lukian. 	Lukianos									
Lyd. 	Lydos				mag.	de magistratibus				
					mens.	de mensibus				
Lykophr. 	Lykophron									
Lykurg. 	Lykurgos									
Lys. 	Lysias									
Max. Tyr. 	Maximos Tyrios									
Melanipp. 	Melanippides									
Men. 	Menandros				Dysk.	Dyskolos				
					Epitr.	Epitrepontes				
					fr.	fragmentum (Körte)				
					Pk.	Perikeiromene				
					Sam.	Samia				
Mimn. 	Mimnermos									
Nik. 	Nikandros				Alex.	Alexipharmaka				
					Ther.	Theriaka				
Nikom. 	Nikomachos									
Nonn. 	Nonnos				Dion.	Dionysiaka				
Oreib. 	Oreibasios									
Orph. 	Orpheus				Arg.	Argonautika				
					fr.	fragmentum (Kern)				
					h.	hymni				
Philostr. 	Philostratos				Ap.	vita Apollonii				
					imag.	imagines				
					soph.	vitae sophistarum				
Phot.  	Photios									
Phryn. 	Phrynichos									
Pind. 	Pindar				fr.	Fragmente (Snell/Maehler)				
					I.	Isthmien				
					N.	Nemeen				
					O.	Olympien				
					P.	Pythien				
Plat.	Platon				Alk. 1	Alkibiades 1 (Stephanus)				
					Alk. 2	Alkibiades 2				
					apol.	apologia				
					Ax.	Axiochos				
					Charm.	Charmides				
					def.	definitiones 				
					Dem.	Demodokos				
					epin.	epinomis				
					epist.	epistulae				
					erast.	erastae				
					Eryx.	Eryxias				
					Euthyd.	Euthydemos				
					Euthyphr.	Euthyphron				
					Gorg.	Gorgias				
					Hipp. mai.	Hippias maior				
					Hipp. min.	Hippias minor				
					Hipparch.	Hipparchos				
					Ion	Ion				
					Kleit.	Kleitophon				
					Krat.	Kratylos 				
					Krit.	Kriton				
					Kritias	Kritias				
					Lach.	Laches				
					leg.	leges 				
					Lys.	Lysis				
					Men.	Menon				
					Min.	Minos				
					Mx.	Menexenos				
					Parm.	Parmenides				
					Phaid.	Phaidon				
					Phaidr.	Phaidros				
					Phil.	Philebos				
					polit.	politicus				
					Prot.	Protagoras				
					rep.	de re publica				
					Sis.	Sisyphos 				
					soph.	sophista				
					symp.	symposium				
					Thg.	Theages				
					Tht.	Theaitetos				
					Tim.	Timaios				
Plut.	Plutarchos					vitae parallelae				
					am.	amatorius				
					de def. or.	de defectu oraculorum				
					de E	de E apud Delphos				
					de Pyth. or.	de Pythiae oraculis 				
					de sera	de sera numinis vindicta				
					Is.	de Iside et Osiride				
					mor.	moralia				
					qu.Gr.	quaestiones Graecae				
					qu.R.	quaestiones Romanae				
					symp.	quaestiones convivales				
Pol.	Polybios									
Polyain. 	Polyainos					strategemata				
Porph. 	Porphyrios									
Poseid.	Poseidonios									
Prok. 	Prokopios				aed.	de aedificiis 				
					BG	bellum Gothicum				
					BP	bellum Persicum				
					BV	bellum Vandalicum				
					HA	historia arcana				
Ptol. 	Ptolemaios									
Skyl.  	Skylax					periplus				
Skymn.  	Skymnos					periegesis				
Sol.	Solon									
Soph.	Sophokles				Ai.	Aias				
					Ant.	Antigone				
					El.	Electra				
					Ichn.	Ichneutae				
					Oid. K.	Oedipus Coloneus				
					Oid. T.	Oedipus Rex				
					Phil.	Philoctetes				
					Trach.	Trachiniae				
Steph. Byz. 	Stephanos Byzantios									
Stesich. 	Stesichoros									
Stob. 	Stobaios									
Strab. 	Strabon									
Suda 	Suda = Suidas									
Them. 	Themistios				or.	orationes				
Theokr. 	Theokritos									
Theop. 	Theopompos									
Theophr. 	Theophrastos				c. plant.	de causis plantarum				
					char.	characteres				
					h. plant.	historia plantarum				
Thuk. 	Thukydides									
Xen. 	Xenophon				Ag.	Agesilaos				
					an.	anabasis				
					apol.	apologia				
					Ath. pol.	Athenaion politeia				
					equ.	de equitandi ratione 				
					hell.	Hellenica				
					Hier.	Hieron				
					hipp.	hipparchicus				
					kyn.	cynegeticus				
					Kyr.	Cyrupaideia				
					Lak. pol.	Lakedaimonion politeia				
					mem.	memorabilia				
					oik.	oeconomicus				
					symp.	symposium				
					vect.	de vectigalibus 				
Xenophan. 	Xenophanes									
Zen. 	Zenon									
